N,spacing_deg,spacing_km,given_radius_506km_linear_overlap,given_radius_506km_area_overlap_flat,given_radius_506km_band_half_width_deg,given_radius_506km_is_continuous,cone_angle_40.46deg_linear_overlap,cone_angle_40.46deg_area_overlap_flat,cone_angle_40.46deg_band_half_width_deg,cone_angle_40.46deg_is_continuous
30,12.0,1334.3391197347048,0.0,0.0,,0,0.0,0.0,,0
31,11.612903225806452,1291.295922323908,0.0,0.0,,0,0.0,0.0,,0
32,11.25,1250.9429247512858,0.0,0.0,,0,0.0,0.0,,0
33,10.909090909090908,1213.035563395186,0.0,0.0,,0,0.0,0.0,,0
34,10.588235294117647,1177.3580468247396,0.0,0.0,,0,0.0,0.0,,0
35,10.285714285714286,1143.7192454868898,0.0,0.0,,0,0.0,0.0,,0
36,10.0,1111.9492664455872,0.0,0.0,,0,0.0,0.0,,0
37,9.72972972972973,1081.8965835686795,0.0,0.0,,0,0.0,0.0,,0
38,9.473684210526315,1053.425620843188,0.0,0.0,,0,0.0,0.0,,0
39,9.23076923076923,1026.4147074882344,0.0,0.0,,0,0.0,0.0,,0
40,9.0,1000.7543398010286,0.011112312449576556,0.0014038325120891498,0.6772048111890311,1,0.0,0.0,,0
41,8.78048780487805,976.3456973668573,0.03523152434105015,0.007896279010941414,1.1984295915370913,1,0.0,0.0,,0
42,8.571428571428571,953.0993712390749,0.05820220233292994,0.016707624172112516,1.5312383055005474,1,0.018044450738602946,0.0029018193185071143,0.8261438803485937,1
43,8.372093023255815,930.9342695823523,0.08010447669728049,0.02688627991470835,1.786156902656211,1,0.04088062630282152,0.00986118203421126,1.2362532980882501,1
44,8.181818181818182,909.7766725463897,0.10101119313597862,0.037948619228809294,1.9947155232253289,1,0.06267879388684838,0.018659026260617308,1.5221658539284877,1
45,8.0,889.5594131564699,0.12098872217740131,0.04959161525885919,2.1714803372365554,1,0.08350815402269618,0.02860296103244222,1.747441004301867,1
46,7.826086956521739,870.2211650443727,0.14009766299963178,0.06160790813228595,2.3246848003786056,1,0.10343188980481144,0.03930612486909347,1.9345539371416685,1
47,7.659574468085107,851.7058211072584,0.15839345740389488,0.07384863056798036,2.459554006942486,1,0.12250780704300701,0.05051652562341202,2.094720596501032,1
48,7.499999999999999,833.9619498341905,0.17592692704131385,0.08620376211116756,2.5796645419973574,1,0.14078889439627773,0.06205767622523394,2.2345513676687014,1
49,7.346938775510203,816.9423182049212,0.19274474485679727,0.09859049296830152,2.687598756211863,1,0.15832381491880265,0.07380074465364231,2.3583540316857596,1
50,7.2,800.603471840823,0.2088898499596612,0.11094578582276088,2.785296436530546,1,0.17515733862042648,0.08564923071031605,2.4691320726836548,1
51,7.0588235294117645,784.9053645498263,0.22440181368594236,0.12322135652298605,2.8742597919142656,1,0.19133072413767316,0.0975296439972923,2.5690837524334724,1
52,6.9230769230769225,769.8110306161758,0.23931716342275122,0.13538014845166932,2.9556805988253,1,0.20688205636579482,0.1093854285418949,2.659877804761706,1
53,6.7924528301886795,755.2862941894556,0.2536696697732653,0.1473937790266601,3.0305230451193057,1,0.22184654586832686,0.12117280142409433,2.7428174783197514,1
54,6.666666666666667,741.2995109637249,0.2674906018145011,0.15924064536683405,3.099579910711397,1,0.2362567950189135,0.132857794084985,2.8189439342383253,1
55,6.545454545454545,727.8213380371117,0.28080895450878296,0.1709044917532392,3.1635119494719945,1,0.2501430351094788,0.14441408728710622,2.889104490440352,1
56,6.428571428571429,714.8245284293062,0.29365165174969754,0.18237330929853607,3.2228762754569695,1,0.2635333380539523,0.1558213904003374,2.953999393316328,1
57,6.315789473684211,702.283747228792,0.3060437280347905,0.19363847987108473,3.2781473153034306,1,0.27645380580739176,0.16706420575756464,3.014214894861021,1
58,6.206896551724138,690.1754067593301,0.31800849134453557,0.2046941029019678,3.329732593380142,1,0.2889287401900229,0.17813087239472922,3.0702472738928535,1
59,6.101694915254237,678.4775185091719,0.32956766945734006,0.21553646123982614,3.3779848376750006,1,0.3009807954410395,0.1890128167841314,3.1225206813710473,1
60,6.0,667.1695598673524,0.34074154163305104,0.22616359411527834,3.4232114101311124,1,0.31263111551702216,0.1997039596409061,3.1714006606106726,1
61,5.9016393442622945,656.2323539678875,0.35154905734398467,0.23657495354394242,3.465681754825935,1,0.3238994578855956,0.2102002421701595,3.217204567746983,1
62,5.806451612903226,645.647961161954,0.36200794351585586,0.24677112636300397,3.5056333532393937,1,0.3348043053390537,0.22049924488876746,3.2602097251330657,1
63,5.714285714285714,635.3995808260499,0.37213480155528667,0.25675360833479427,3.543276538394707,1,0.34536296715906867,0.23059987898887072,3.3006598866622534,1
64,5.625,625.4714623756429,0.38194519528098536,0.2665246198627279,3.578798425118244,1,0.3555916707972082,0.24050213508834914,3.338770425893246,1
65,5.538461538461538,615.8488244929406,0.391453730738201,0.2760869551821397,3.6123661474375974,1,0.36550564509263583,0.2502068777585105,3.3747325439356275,1
66,5.454545454545454,606.517781697593,0.4006741287573191,0.28544385863572086,3.644129546925994,1,0.37511919592456555,0.25971567683573604,3.408716715252762,1
67,5.373134328358209,597.4652774931515,0.40961929101467254,0.29459892297541906,3.674223421635311,1,0.38444577508987055,0.2690306684819357,3.4408755340487005,1
68,5.294117647058823,588.6790234123698,0.41830136026445675,0.30355600565860874,3.7027694201745263,1,0.39349804310325476,0.27815444044215576,3.4713460841710764,1
69,5.217391304347826,580.1474433629152,0.4267317753330878,0.3123191599036133,3.729877646837403,1,0.402287926536541,0.28708993708400166,3.500251926578626,1
70,5.142857142857143,571.8596227434449,0.43492132139975803,0.32089257789428854,3.7556480296441097,1,0.4108266704431618,0.2958403806825797,3.5277047771350025,1
71,5.070422535211268,563.8052618597344,0.4428801760279304,0.329280544016371,3.7801714924797527,1,0.4191248863524131,0.3044092061007264,3.5538059316085784,1
72,5.0,555.9746332227936,0.4506179513608759,0.3374873964000245,3.803530964305132,1,0.42719259626418515,0.3128000065540904,3.57864748276287,1
73,4.931506849315069,548.358542356728,0.45814373284908305,0.34551749535619825,3.8258022520396993,1,0.4350392730276894,0.32101648857845494,3.602313365267778,1
74,4.864864864864865,540.9482917843397,0.4654661148376089,0.3533751975461983,3.847054798738289,1,0.4426738774462342,0.3290624346580297,3.624880257110713,1
75,4.8,533.7356478938818,0.4725932333064409,0.3610648349273627,3.867352344741949,1,0.45010489241361773,0.3369416722474541,3.6464183606944256,1
76,4.7368421052631575,526.712810421594,0.4795327960260929,0.3685906976829566,3.886753506359717,1,0.45734035435554377,0.34465804814144413,3.6669920825075306,1
77,4.675324675324675,519.8723843122226,0.48629211036341635,0.375957020479165,3.905312284130647,1,0.4643878822210562,0.35221540732548984,3.6866606268427096,1
78,4.615384615384615,513.2073537441172,0.4928781089485008,0.38316797150240356,3.923078510696062,1,0.4712547042438632,0.3596175755873267,3.705478516327872,1
79,4.556962025316456,506.7110581271031,0.4992973733921906,0.3902276438208759,3.940098246676091,1,0.47794768267115606,0.36686834528871565,3.7234960498585394,1
80,4.5,500.3771699005143,0.5055561562247883,0.3971400486891203,3.9564141316033408,1,0.4844733366377666,0.37397146379555785,3.7407597067564917,1
